complication,method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
OTEK_LANC,RF,16,0.024907613037897916,0.0015162060184680582,0.04850009707343211,0.014874816745292972,1.0,15,True
RAZRIV,LASSO,3,0.0033928906685501635,-0.002481150094467596,0.03531822295369864,0.012735496721992227,0.26666666666666666,15,False
RAZRIV,LASSO,5,0.014119191799338238,-0.0017066496157157663,0.06549435370818454,0.02182643375058918,0.6,15,False
RAZRIV,LASSO,10,0.004676607916298229,-0.0020877494925139184,0.03132664080608296,0.010731287755408271,0.4,15,False
RAZRIV,LASSO,16,0.0034487755909328216,-0.0013943937460762557,0.014979897020211026,0.00601207282787944,0.4666666666666667,15,False
RAZRIV,RF,3,0.0007336034582864841,-0.0028570597777317574,0.01739505150631121,0.006267506304265322,0.2,15,False
RAZRIV,RF,5,0.004699761878454304,-0.003938285581130202,0.030288076292609625,0.011306422973480237,0.3333333333333333,15,False
RAZRIV,RF,10,0.007445090221854163,-0.0019866267533254793,0.03437223210916024,0.012139029744188602,0.4,15,False
RAZRIV,RF,16,0.006324165440491536,-0.0022397008705479617,0.02033534087409307,0.007718549238069957,0.6,15,False
DRESSLER,LASSO,3,0.00459577915945183,-0.0039017052932236226,0.025151073713417436,0.009792814028112353,0.4666666666666667,15,False
DRESSLER,LASSO,5,0.004426592880812156,-0.002005006720390304,0.025680442811911296,0.01012608679138584,0.3333333333333333,15,False
DRESSLER,LASSO,10,0.004377093510839647,-0.0027719685186743475,0.027025517369376462,0.010661632764785356,0.4,15,False
DRESSLER,LASSO,16,-0.0009546516892636007,-0.003039731350969843,-2.789037422272209e-05,0.0009219182807329526,0.0,15,True
DRESSLER,RF,3,-0.0005315466072896828,-0.0012424550335617041,0.0006459814106069025,0.0005758881591579662,0.2,15,False
DRESSLER,RF,5,-0.0005776380574928167,-0.0014204069268487218,-4.461462949865709e-05,0.00043959457220698554,0.0,15,True
DRESSLER,RF,10,0.0019573710486763523,-0.0017652453987730549,0.013819254894424302,0.005117329926747234,0.3333333333333333,15,False
DRESSLER,RF,16,0.00013406670733898303,-0.0029778650161527307,0.008028081565289492,0.00321479821653679,0.2,15,False
ZSN,LASSO,3,0.10139569940174728,0.05838066909493185,0.12356585478773878,0.01824325175111308,1.0,15,True
ZSN,LASSO,5,0.10454343529182006,0.09135675837394869,0.11896418540266913,0.008439379165905099,1.0,15,True
ZSN,LASSO,10,0.08972012591533189,0.0558430501290795,0.11052714890588458,0.017366309632032968,1.0,15,True
ZSN,LASSO,16,0.040619752394878576,0.011775477949654578,0.06052803586359896,0.015321855442300868,1.0,15,True
ZSN,RF,3,0.10321408597531449,0.08857435757198778,0.12075836194406907,0.010799260313814623,1.0,15,True
ZSN,RF,5,0.09592048753384882,0.07955947096573301,0.11353204354541119,0.011082330011142779,1.0,15,True
ZSN,RF,10,0.0512061197316044,0.0327934570335839,0.06799016225862543,0.01036515610753373,1.0,15,True
ZSN,RF,16,0.011897337902404185,-0.00822394828270429,0.03211774126536366,0.012021562697932916,0.8,15,False
REC_IM,LASSO,3,0.016536435883334286,-0.0015853266238812975,0.037232852084553444,0.011320775174504364,0.8666666666666667,15,False
REC_IM,LASSO,5,0.01853384612938155,-0.00634532268252277,0.04717121466127141,0.01452474386916753,0.8666666666666667,15,False
REC_IM,LASSO,10,0.01119454316551121,-0.003457366028708117,0.024928469707709938,0.00955062314979519,0.8666666666666667,15,False
REC_IM,LASSO,16,0.012017284330931669,-0.007096913212217781,0.026948719436905667,0.010447805888611108,0.8,15,False
REC_IM,RF,3,0.009483160157211698,-0.0055632560058840735,0.04119395523906564,0.013447736144032385,0.7333333333333333,15,False
REC_IM,RF,5,0.006754870589288224,-0.00503500724564174,0.025344985159375395,0.008761770707183801,0.8,15,False
REC_IM,RF,10,0.010147043062967272,-0.003569981907894734,0.023303470636535102,0.009397578067915874,0.7333333333333333,15,False
REC_IM,RF,16,0.00900672158095508,0.0007305730133647048,0.018854555848115358,0.0056348322970745735,1.0,15,True
P_IM_STEN,LASSO,3,0.0015556991207312946,-0.0028647776065742203,0.018762339232563055,0.006940940505315379,0.26666666666666666,15,False
P_IM_STEN,LASSO,5,0.0012609662452711446,-0.003612029063911321,0.018209060988077504,0.0069140132171800015,0.4,15,False
P_IM_STEN,LASSO,10,0.005336847873971029,-0.004240669552268933,0.019339132383563624,0.00839283142883701,0.6,15,False
P_IM_STEN,LASSO,16,0.009522334398425905,0.00037717088550556777,0.022480376874328575,0.007553220186796494,1.0,15,True
P_IM_STEN,RF,3,0.005231964929477773,-0.007525635370417133,0.02218297510822507,0.010180930860179517,0.6,15,False
P_IM_STEN,RF,5,0.0033427451617244067,-0.0064019116574828535,0.016078393979533517,0.007268698328303371,0.6,15,False
P_IM_STEN,RF,10,0.0024214494207868142,-0.0092232985217891,0.01935383849749389,0.009109911358864797,0.5333333333333333,15,False
P_IM_STEN,RF,16,-0.0026225899220426287,-0.006583625114248731,0.0023085339441967557,0.002960183110990324,0.26666666666666666,15,False
