complication,method,K,method_acc,baseline_mean,p_value
DRESSLER,RF,10,0.4990769230769231,0.5013128205128204,0.9
DRESSLER,RF,16,0.4990769230769231,0.4997989743589743,0.89
ZSN,LASSO,3,0.6085831888744646,0.5116651184303604,0.05
ZSN,LASSO,5,0.6084413211961972,0.5116550322214536,0.02
ZSN,LASSO,10,0.6162751377865533,0.5205729899487721,0.0
ZSN,LASSO,16,0.5868677171352834,0.5238616576363679,0.04
ZSN,RF,3,0.5988137530025419,0.5116651184303604,0.06
ZSN,RF,5,0.6142617827908676,0.5116550322214536,0.01
ZSN,RF,10,0.564911264682333,0.5205729899487721,0.13
ZSN,RF,16,0.5287544406526691,0.5238616576363679,0.3
REC_IM,LASSO,3,0.530048690101584,0.5017218052477563,0.02
REC_IM,LASSO,5,0.5211636648586436,0.5015163926062877,0.02
REC_IM,LASSO,10,0.5127030964945576,0.5024708287928692,0.1
REC_IM,LASSO,16,0.5108563009399272,0.5023030458862374,0.11
REC_IM,RF,3,0.5013223464302768,0.5017218052477563,0.19
REC_IM,RF,5,0.5102073716732172,0.5015163926062877,0.06
REC_IM,RF,10,0.523334925046629,0.5024708287928692,0.01
REC_IM,RF,16,0.5155232859492529,0.5023030458862374,0.05
P_IM_STEN,LASSO,3,0.5202615631095013,0.5018803984396767,0.07
P_IM_STEN,LASSO,5,0.5065913207021454,0.5042183581777653,0.2
P_IM_STEN,LASSO,10,0.4971005154639175,0.5015320249373084,0.87
P_IM_STEN,LASSO,16,0.4990247979938702,0.5023538938422959,0.51
P_IM_STEN,RF,3,0.507392379492895,0.5018803984396767,0.14
P_IM_STEN,RF,5,0.496290749512399,0.5042183581777653,0.93
P_IM_STEN,RF,10,0.496290749512399,0.5015320249373084,0.9
P_IM_STEN,RF,16,0.4935567010309278,0.5023538938422959,0.96
