method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
PREDS_TAH_II_perfeat,10,0.5,0.4999523809523809,0.000196157822062905,0.93,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_perfeat,16,0.5,0.4999285714285715,0.00022319444356253104,0.88,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_joint,3,0.5,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_joint,5,0.5,0.49996726190476193,0.0001829570582059956,0.96,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_joint,10,0.5,0.4999523809523809,0.000196157822062905,0.93,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_joint,16,0.5,0.4999285714285715,0.00022319444356253104,0.88,PREDS_TAH,0.011764705882352941
PREDS_TAH_DII_L1,3,0.5,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,0.011764705882352941
PREDS_TAH_DII_L1,5,0.5,0.49996726190476193,0.0001829570582059956,0.96,PREDS_TAH,0.011764705882352941
PREDS_TAH_DII_L1,10,0.5,0.4999523809523809,0.000196157822062905,0.93,PREDS_TAH,0.011764705882352941
PREDS_TAH_DII_L1,16,0.5,0.4999285714285715,0.00022319444356253104,0.88,PREDS_TAH,0.011764705882352941
JELUD_TAH_MI_perfeat,3,0.5,0.5004793497616176,0.0047130758450064135,0.94,JELUD_TAH,0.024705882352941175
JELUD_TAH_MI_perfeat,5,0.4996984318455971,0.4995207938422655,0.0037290804926390134,0.92,JELUD_TAH,0.024705882352941175
JELUD_TAH_MI_perfeat,10,0.4996984318455971,0.4999155609167672,0.00025259820978735495,0.91,JELUD_TAH,0.024705882352941175
JELUD_TAH_MI_perfeat,16,0.4996984318455971,0.5000631857085416,0.002374010645880691,0.88,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_perfeat,3,0.5,0.5004793497616176,0.0047130758450064135,0.94,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_perfeat,5,0.5,0.4995207938422655,0.0037290804926390134,0.88,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_perfeat,10,0.5,0.4999155609167672,0.00025259820978735495,0.87,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_perfeat,16,0.6243753231087368,0.5000631857085416,0.002374010645880691,0.0,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_joint,3,0.5,0.5004793497616176,0.0047130758450064135,0.94,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_joint,5,0.5,0.4995207938422655,0.0037290804926390134,0.88,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_joint,10,0.5,0.4999155609167672,0.00025259820978735495,0.87,JELUD_TAH,0.024705882352941175
JELUD_TAH_II_joint,16,0.4987937273823884,0.5000631857085416,0.002374010645880691,0.99,JELUD_TAH,0.024705882352941175
JELUD_TAH_DII_L1,3,0.5,0.5004793497616176,0.0047130758450064135,0.94,JELUD_TAH,0.024705882352941175
JELUD_TAH_DII_L1,5,0.5,0.4995207938422655,0.0037290804926390134,0.88,JELUD_TAH,0.024705882352941175
JELUD_TAH_DII_L1,10,0.5,0.4999155609167672,0.00025259820978735495,0.87,JELUD_TAH,0.024705882352941175
JELUD_TAH_DII_L1,16,0.4996984318455971,0.5000631857085416,0.002374010645880691,0.88,JELUD_TAH,0.024705882352941175
FIBR_JELUD_MI_perfeat,3,0.5323450833916945,0.4988964542318367,0.015723309931828862,0.01,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_MI_perfeat,5,0.543157039227384,0.49982457050467316,0.00829177664668956,0.01,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_MI_perfeat,10,0.5116290128740522,0.49962774189643694,0.002256882816423773,0.0,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_MI_perfeat,16,0.5039728858108751,0.5010361926006623,0.004900887642291065,0.14,FIBR_JELUD,0.04176470588235294
